candidate_id,name,drug
1,Baicalin,"OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1"
2,Aescin Escin,"[H][C@@]1(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@]([H])(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)[C@@]3(C)CO)O[C@@H]2C(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[H][C@@]1(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@]([H])(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)[C@@]3(C)CO)O[C@@H]2C(O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O"
3,Geniposide,"COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O"
4,Icariin,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O"
5,Salvianolic acid B,"C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C3[C@@H]([C@H](OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)O[C@H](CC5=CC(=C(C=C5)O)O)C(=O)O)O)O"
6,Timosaponin A-I,"C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@H]5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O)C)C)O[C@]17CCC(CO7)C"
7,Psoralen,"C1=CC(=O)OC2=CC3=C(C=CO3)C=C21"
8,Salidroside,"C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O"
9,Agrimol B,"CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(=C(C(=C2O)C(=O)[C@@H](C)CC)O)CC3=C(C(=C(C(=C3O)C)OC)C(=O)CCC)O)O)O)C)OC"
10,Hanbaicalin,"O=C3\C=C(/Oc2cc(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c(O)c(O)c23)c4ccccc4"
11,Parthenolide,"C\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1"
12,Quercetin,"OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1"
13,Isoquercitroside,"[H][C@@]1(O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C(O) =C2)[C@H](O)[C@H]1O)[C@H](O)CO"
14,Echinoside,"C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC(O)=C(O)C=C3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O"
15,Sennoside,"C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O"
16,Imperatorin,"CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C"
17,Hesperidin,"COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O"
18,Geniposide (repeated),"COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O"
19,Dihydrocucurbitacin B,"CC(=O)OC(C)(C)CCC(=O)[C@@](C)([C@H]1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C[C@@H](C(=O)C4(C)C)O)C)C)C)O)O"
20,Dihydromyricetin,"C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O"
